publication_date,report_date,country,province,health_zone,confirmed_cases,probable_cases,total_cases,confirmed_deaths,total_deaths,total_suspected_cases,new_deaths,new_cured,total_cured,new_suspected_cases,old_suspected_cases,confirmed_cases_change,probable_cases_change,total_cases_change,confirmed_deaths_change,total_deaths_change,total_suspected_cases_change,source
#date +event,#date +report,#adm0 +code,#adm1 +health+name,#adm2 +health+name,#affected +infected+confirmed,#affected +infected+probable,#affected +infected+total,#affected +killed+confirmed,#affected +killed+total,#affected +suspect+total,#affected +killed+new,#affected,#affected,#affected +infected+suspected+new,#affected +infected+suspected+old,#affected +infected+confirmed,#affected +infected+probable,#affected +infected+total,#affected +killed+confirmed,#affected +killed+total,#affected +suspect+total,#meta +source
2019-04-01,2019-03-31,COD,North Kivu,Alimbongo,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,North Kivu,Beni,239,9,248,123,132,30,,,,,,1,0,1,0,0,-31,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,North Kivu,Biena,6,0,6,6,6,19,,,,,,0,0,0,0,0,11,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,North Kivu,Butembo,98,0,98,87,87,11,,,,,,0,0,0,1,1,-10,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,North Kivu,Goma,0,0,0,0,0,10,,,,,,0,0,0,0,0,4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,North Kivu,Kalunguta,48,13,61,22,35,7,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,North Kivu,Katwa,304,11,315,205,216,19,,,,,,2,0,2,1,1,-14,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,North Kivu,Kayina,8,0,8,3,3,6,,,,,,0,0,0,0,0,4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,North Kivu,Kyondo,16,2,18,12,14,2,,,,,,0,0,0,0,0,-9,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,North Kivu,Lubero,4,0,4,1,1,2,,,,,,0,0,0,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,North Kivu,Mabalako,90,16,106,54,70,4,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,North Kivu,Mangurujipa,5,0,5,4,4,7,,,,,,0,0,0,0,0,3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,North Kivu,Masereka,28,1,29,9,10,3,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,North Kivu,Musienene,7,1,8,2,3,22,,,,,,0,0,0,0,0,-9,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,North Kivu,Mutwanga,4,0,4,3,3,16,,,,,,0,0,0,0,0,-25,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,North Kivu,Oicha,39,0,39,20,20,7,,,,,,1,0,1,0,0,-13,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,North Kivu,Vuhovi,47,1,48,20,21,2,,,,,,2,0,2,1,1,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,Ituri,Bunia,1,0,1,1,1,8,,,,,,0,0,0,0,0,-5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,Ituri,Komanda,27,9,36,9,18,1,,,,,,0,0,0,0,0,-7,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,Ituri,Mandima,48,3,51,28,31,4,,,,,,1,0,1,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,Ituri,Nyankunde,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,Ituri,Rwampara,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-04-01,2019-03-31,COD,Ituri,Tchomia,2,0,2,2,2,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_1avr19
2019-03-31,2019-03-30,COD,North Kivu,Alimbongo,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,North Kivu,Beni,238,9,247,123,132,61,,,,,,1,0,1,1,1,-9,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,North Kivu,Biena,6,0,6,6,6,8,,,,,,0,0,0,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,North Kivu,Butembo,98,0,98,86,86,21,,,,,,0,0,0,2,2,-12,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,North Kivu,Goma,0,0,0,0,0,6,,,,,,0,0,0,0,0,-4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,North Kivu,Kalunguta,48,13,61,22,35,6,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,North Kivu,Katwa,302,11,313,204,215,33,,,,,,5,0,5,4,4,17,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,North Kivu,Kayina,8,0,8,3,3,2,,,,,,0,0,0,0,0,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,North Kivu,Kyondo,16,2,18,12,14,11,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,North Kivu,Lubero,4,0,4,1,1,3,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
