Longitude,Latitude,title/0/en,notes/en,time,severity_rating,0/name
28.26164,-2.69066,The Raia Mutomboki Mabala Wemba raided Ngolombe village in Shabunda territory.,"The Raia Mutomboki Mabala Wemba raided Ngolombe village in Shabunda territory. The attackers looted goats, chickens, ducks, and property. They forced ten people to carry the looted goods.",3/23/2019,1,Abduction
28.89181,-1.7897,The Raia Mutomboki Kabishula shot and killed a 22-year-old man in the Numbi locality of Kalehe territory.,The Raia Mutomboki Kabishula shot and killed a 22-year-old man in the Numbi locality of Kalehe territory. This incident occurred when the victim resisted the extortion of his property by the attackers.,3/22/2019,3,Killing
28.46276,-2.35448,Unidentified gunmen shot and killed a 53-year-old man near Kalonge village in Kalehe territory.,Unidentified gunmen shot and killed a 53-year-old man near Kalonge village in Kalehe territory. The victim's body was found along the road leading to Bunyakiri.,3/22/2019,3,Killing
29.23743,-1.64793,"Unidentified gunmen killed one woman, two boys and two men at Buhene village in Nyiragongo territory.","Unidentified gunmen killed one woman, two boys and two men at Buhene village in Nyiragongo territory. The attackers injured six people and kidnapped ten people. They also demanded a ransom of $20000 for the release of the hostages.",3/21/2019,7,Killing
28.825,-2.42037,Unidentified gunmen who had kidnapped a man from Mbiza village in Kabare territory released the hostage.,Unidentified gunmen who had kidnapped a man from Mbiza village in Kabare territory released the hostage.&nbsp;,3/21/2019,1,Returnee
29.71029,0.35795,Two unidentified gunmen shot and killed a 40-year-old man at Kasusukamu village in Beni territory.,Two unidentified gunmen shot and killed a 40-year-old man at Kasusukamu village in Beni territory. The victim succumbed to his injuries while being rushed to the hospital.,3/20/2019,3,Killing
28.81487,-2.43381,"Unidentified gunmen raided the villages of Mbiza, Karhole and Mufuma in Kabare territory.","Unidentified gunmen raided the villages of Mbiza, Karhole and Mufuma in Kabare territory. The attackers shot and killed a 42-year-old man and a 58-year-old woman. They also abducted a 45-year-old man. The attackers also looted property.",3/20/2019,3,Killing
29.47627,0.48141,Unidentified gunmen killed a man and his son with machetes in the Rwangoma neighborhood of Beni town.,Unidentified gunmen killed a man and his son with machetes&nbsp;in the Rwangoma neighborhood of Beni town.,3/20/2019,3,Killing
29.51413,0.67231,The FARDC attacked unidentified gunmen who were looting goods and medicine from Maleki village in Beni territory.,The FARDC attacked unidentified gunmen who were looting goods and medicine from Maleki village in Beni territory. The FARDC chased the attackers.,3/19/2019,1,Clash
29.51413,0.67231,Unidentified gunmen looted property and medicine from homes and a health center at Maleki village in Beni territory.,Unidentified gunmen looted property and medicine from homes and a health center at Maleki village in Beni territory.,3/19/2019,1,Looting
