Date,weirdTag,Site,Lat,Long,Admin 0 iso3,Admin,ID,City,ID2,Place,sd,ddd,Admin 4 Pcode,Number of Menages,Individuals,Males,Females,Origin,Zone d'origine du plus grand PDI group  (Admin 2 Pcode),1.5.c.2 Zone d'origine du deuxieme plus grand PDI group (Admin 2),Zone d'origine du deuxieme plus grand PDI group (Admin 2 Pcode)
18-Nov,DRC08004030202SS,BUSHANI,-1.316087,28.743608,COD,Nork-Kivu,COD61,MASISI,COD6103,OSSO BANYUNGU,COD610303,BIIRI,,437,1292,557,735,MASISI,COD6103,WALIKALE,COD6103
18-Nov,DRC08007000401SS,JTN,-1.10381,29.055,COD,Nork-Kivu,COD61,RUTSHURU,COD6111,BWITO,COD611101,KIHONDO,,0,0,0,0,,,,
18-Nov,DRC08007000800SS,KABIZO,-1.16402,29.22758,COD,Nork-Kivu,COD61,RUTSHURU,COD6111,BWITO,COD611101,TONGO,,1706,7574,3411,4163,RUTSHURU,COD6111,WALIKALE,COD6111
18-Nov,DRC08007000700SS,KANABA,-1.22834,29.22041,COD,Nork-Kivu,COD61,RUTSHURU,COD6111,BWITO,COD611101,TONGO,,1458,5661,2489,3172,RUTSHURU,COD6111,MASISI,COD6111
18-Nov,DRC08004000204SS,KASENYI,-1.616,28.743,COD,Nork-Kivu,COD61,MASISI,COD6103,BAHUNDE,COD610307,MUPFUNI KIBABI,,724,2002,791,1211,MASISI,COD6103,WALIKALE,COD6103
18-Nov,DRC08004030100SS,KATALE,-1.43901,28.87328,COD,Nork-Kivu,COD61,MASISI,COD6103,OSSO BANYUNGU,COD610303,BAPFUNA,,1734,5883,2480,3403,MASISI,COD6103,RUTSHURU,COD6103
18-Nov,DRC08004020200SS,KATOYI,-1.588,28.774,COD,Nork-Kivu,COD61,MASISI,COD6103,KATOYI,COD610302,NYALIPE,,542,1424,598,826,MASISI,COD6103,RUTSHURU,COD6103
18-Nov,DRC08004000200SS,KIBABI/BUPORO,-1.54919,28.849311,COD,Nork-Kivu,COD61,MASISI,COD6103,BAHUNDE,COD610307,MUPFUNI KIBABI,,590,2486,1185,1301,MASISI,COD6103,RUTSHURU,COD6103
18-Nov,DRC08004000202SS,KIBABI/POLICE,-1.555794,28.830086,COD,Nork-Kivu,COD61,MASISI,COD6103,BAHUNDE,COD610307,MUPFUNI KIBABI,,327,1361,680,681,MASISI,COD6103,WALIKALE,COD6103
18-Nov,DRC08007000101SS,KIZIMBA,-1.248806,29.094417,COD,Nork-Kivu,COD61,RUTSHURU,COD6111,BWITO,COD611101,BISHUSHA,,881,2511,1054,1457,RUTSHURU,COD6111,MASISI,COD6111
18-Nov,DRC08004010104SS,MALEMO,-0.994990223,28.87767856,COD,Nork-Kivu,COD61,MASISI,COD6103,BASHALI,COD610304,BASHALI MUKOTO,,0,0,0,0,,,,
18-Nov,DRC08007000108SS,MUHETO,-1.336,28.95,COD,Nork-Kivu,COD61,MASISI,COD6103,BASHALI,COD610304,BASHALI KAEMBE,,682,1967,808,1159,MASISI,COD6103,RUTSHURU,COD6103
18-Nov,DRC08007000600SS,RUSHASHI,-1.12507,29.20164,COD,Nork-Kivu,COD61,RUTSHURU,COD6111,BWITO,COD611101,TONGO,,828,3427,1612,1815,RUTSHURU,COD6111,WALIKALE,COD6111
